week,Supply,Max delivery per week
1,600000,110000
2,0,110000
3,0,110000
4,0,110000
5,0,110000
6,0,110000
7,0,110000
8,0,110000
9,0,110000
10,0,110000
11,0,110000
12,0,110000
13,0,110000
14,0,110000
15,0,110000
16,0,110000
17,0,110000
18,0,110000
19,0,110000
20,600000,110000
21,0,110000
22,0,110000
23,0,110000
24,0,110000
25,0,110000
26,0,110000
27,0,110000
28,0,110000
29,0,110000
30,0,110000
31,0,110000
32,0,110000
33,0,110000
34,0,110000
35,0,110000
36,0,110000
37,0,110000
38,0,110000
39,0,110000
40,0,110000
41,0,110000
42,0,110000
43,0,110000
44,0,110000
45,0,110000
46,0,110000
47,0,110000
48,0,110000
49,0,110000
50,0,110000
51,0,110000
52,0,110000
